"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noczbnut  ","P",01/07/2015 13:48,1,1,1         ,1         ,"",0.0666,<0>  ,0.1270,<0>  ,0.0089,<0>  ,0.1754,<0>  ,0.1843,<0>  ,3.1500,<0>  ,
"noczbnut  ","P",02/04/2015 13:39,1,1,1         ,1         ,"",0.0331,<0>  ,0.0412,<0>  ,0.0066,<-4> [SBL] ,"",<-4> [SCB] ,0.1571,<0>  ,2.6800,<0>  ,
"noczbnut  ","P",03/06/2015 12:01,1,1,1         ,1         ,"",0.0225,<0>  ,0.1050,<0>  ,0.0114,<0>  ,0.2681,<0>  ,0.2795,<0>  ,8.0700,<0>  ,
"noczbnut  ","P",04/09/2015 12:45,1,1,1         ,1         ,"",0.0316,<0>  ,0.0625,<0>  ,0.0045,<0>  ,0.0664,<0>  ,0.0709,<0>  ,15.1600,<0>  ,
"noczbnut  ","P",05/04/2015 10:47,1,1,1         ,1         ,"",0.0339,<0>  ,0.0265,<0>  ,0.0051,<0>  ,0.1009,<0>  ,0.1060,<0>  ,2.9600,<0>  ,
"noczbnut  ","P",06/02/2015 11:10,1,1,1         ,1         ,"",0.0882,<0>  ,0.0193,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,23.6700,<0>  ,
"noczbnut  ","P",07/06/2015 13:40,1,1,1         ,1         ,"",0.0086,<0>  ,0.0170,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,30.4600,<0>  ,
"noczbnut  ","P",08/05/2015 13:40,1,1,1         ,1         ,"",0.0089,<0>  ,0.0088,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,38.2100,<0>  ,
"noczbnut  ","P",09/02/2015 12:04,1,1,1         ,1         ,"",0.0134,<0>  ,0.0091,<0>  ,0.0605,<0>  ,0.0383,<0>  ,0.0988,<0>  ,16.5000,<0>  ,
"noczbnut  ","P",09/02/2015 12:05,1,1,1         ,2         ,"",0.0160,<0>  ,0.0181,<0>  ,0.0544,<0>  ,0.0493,<0>  ,0.1037,<0>  ,18.1300,<0>  ,
"noczbnut  ","P",09/02/2015 12:06,1,1,1         ,3         ,"",0.0141,<0>  ,0.0111,<0>  ,0.0615,<0>  ,0.0393,<0>  ,0.1008,<0>  ,10.3000,<0>  ,
"noczbnut  ","P",10/15/2015 9:45,1,1,1         ,1         ,"",0.0403,<0>  ,0.0873,<0>  ,0.0054,<0>  ,0.1863,<0>  ,0.1917,<0>  ,2.8500,<0>  ,
"noczbnut  ","P",11/03/2015 14:37,1,1,1         ,1         ,"",0.0358,<0>  ,0.1122,<0>  ,0.0048,<0>  ,0.0728,<0>  ,0.0776,<0>  ,3.8600,<0>  ,
"noczbnut  ","P",12/01/2015 13:31,1,1,1         ,1         ,"",0.0307,<0>  ,0.0827,<0>  ,0.0062,<0>  ,0.1620,<0>  ,0.1682,<0>  ,6.1100,<0>  ,
