"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noclcnut  ","P",01/04/2017 13:30,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0217,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.0700,<0>  ,
"noclcnut  ","P",02/01/2017 11:49,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0226,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0259,<0>  ,2.0300,<0>  ,
"noclcnut  ","P",03/21/2017 14:01,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0145,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.5300,<0>  ,
"noclcnut  ","P",04/11/2017 12:08,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0293,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.3000,<0>  ,
"noclcnut  ","P",04/11/2017 12:09,1,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0174,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.2400,<0>  ,
"noclcnut  ","P",04/11/2017 12:10,1,1,1         ,3         ,"",0.0020,<-4> [SBL] ,0.0172,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.4100,<0>  ,
"noclcnut  ","P",05/02/2017 13:36,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0092,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.8000,<0>  ,
"noclcnut  ","P",06/12/2017 11:10,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0096,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,5.6300,<0>  ,
"noclcnut  ","P",07/17/2017 11:20,1,1,1         ,1         ,"",0.0038,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,14.3600,<0>  ,
"noclcnut  ","P",08/29/2017 13:37,1,1,1         ,1         ,"",0.0047,<0>  ,0.0193,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.4600,<0>  ,
"noclcnut  ","P",09/20/2017 9:25,1,1,1         ,1         ,"",0.0041,<0>  ,0.0089,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.9300,<0>  ,
"noclcnut  ","P",10/11/2017 13:15,1,1,1         ,1         ,"",0.0039,<0>  ,0.0139,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,7.3200,<0>  ,
"noclcnut  ","P",11/06/2017 11:25,1,1,1         ,1         ,"",0.0031,<0>  ,0.0237,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.1900,<0>  ,
"noclcnut  ","P",12/04/2017 10:35,1,1,1         ,1         ,"",0.0032,<0>  ,0.0252,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.0100,<0>  ,
"noclcnut  ","P",12/04/2017 10:36,1,1,1         ,2         ,"",0.0035,<0>  ,0.0189,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.0100,<0>  ,
"noclcnut  ","P",12/04/2017 10:37,1,1,1         ,3         ,"",0.0040,<0>  ,0.0178,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.0200,<0>  ,
